exam,year,session,shift,paperId,paper,firestoreCount,qdrantCount,matchedCount,missingVectors,orphanVectors,duplicateVectors,provenanceErrors,trustTierErrors,acceptedCount,coveragePercent,status
RRB_NTPC,2021,,,src_rrb_ntpc_2021_main_paper_railway_recruitm,Main Paper,3,2,2,0,0,0,0,0,2,100,COMPLETE
UGC_NET,2009,June,,src_ugc_net_sociology_05_2009_june_paper_ii,Paper II,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2017,January,,src_ugc_net_education_09_2017_january_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2016,July,,src_ugc_net_history_06_2016_july_paper_iii,Paper III,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2010,June,,src_ugc_net_geography_80_2010_june_paper_iii,Paper III,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2011,December,,src_ugc_net_psychology_04_2011_december_paper_iii,Paper III,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2013,June,,src_ugc_net_psychology_04_2013_june_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2009,December,,src_ugc_net_history_06_2009_december_paper_ii,Paper II,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2014,June,,src_ugc_net_commerce_08_2014_june_paper_iii,Paper III,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2013,December,,src_ugc_net_philosophy_03_2013_december_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2009,December,,src_ugc_net_psychology_04_2009_december_paper_iii,Paper III,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2014,December,,src_ugc_net_management_17_2014_december_paper_iii,Paper III,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
JEE_MAIN,2026,Session 2 (Apr),Shift 2,src_jee_main_2026_session_2_apr_shift_2_nta_official_que,,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2010,December,,src_ugc_net_sociology_05_2010_december_paper_ii,Paper II,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2012,June,,src_ugc_net_education_09_2012_june_paper_iii,Paper III,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2017,January,,src_ugc_net_sociology_05_2017_january_paper_ii,Paper II,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UPSC_CSE,2022,,,src_upsc_cse_2022_gs_paper_1_2_detailed_explanations_drishti_ias_edit,GS Paper 1 & 2 Detailed Explanations,242,154,154,0,0,0,0,0,154,100,COMPLETE
SSC_CGL,2024,,Shift 3,src_ssc_cgl_2024_shift_3_tier_1_cbt_ssc_official_tie,Tier 1 CBT,3182,2993,2993,157,0,0,0,0,3150,95,PARTIAL
UGC_NET,2012,June,,src_ugc_net_philosophy_03_2012_june_paper_iii,Paper III,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2010,December,,src_ugc_net_economics_01_2010_december_paper_iii,Paper III,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2015,December,,src_ugc_net_economics_01_2015_december_paper_ii,Paper II,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2015,December,,src_ugc_net_english_30_2015_december_paper_ii,Paper II,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2018,July,,src_ugc_net_general_00_2018_july_paper_i_set_r_3,Paper I,1374,79,71,87,8,0,1284,0,158,44.9,PARTIAL
UGC_NET,2011,June,,src_ugc_net_population_studies_15_2011_june_paper_ii,Paper II,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2012,December,,src_ugc_net_english_30_2012_december_paper_iii,Paper III,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2011,December,,src_ugc_net_general_00_2011_december_paper_i_set_w_1,Paper I,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2017,November,,src_ugc_net_cs_87_2017_november_paper_ii,Paper II,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2011,December,,src_ugc_net_home_science_12_2011_december_paper_ii,Paper II,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2012,December,,src_ugc_net_law_58_2012_december_paper_ii,Paper II,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2014,June,,src_ugc_net_sociology_05_2014_june_paper_iii,Paper III,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2016,July,,src_ugc_net_commerce_08_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
BPSC_CCE,2023,,,src_bpsc_cce_2023_solved_practice_paper_drishti_ias_bpsc,Solved Practice Paper,351,313,313,0,0,0,300,0,313,100,COMPLETE
UGC_NET,2011,June,,src_ugc_net_history_06_2011_june_paper_ii,Paper II,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2013,December,,src_ugc_net_law_58_2013_december_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
SSC_CGL,2020,,Shift 2,src_ssc_cgl_2020_shift_2_tier_1_cbt_ssc_official_tie,Tier 1 CBT,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2013,December,,src_ugc_net_sociology_05_2013_december_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2009,Dec,,src_ugc_net_commerce_08_2009_dec_paper_iii,Paper III,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
NEET_UG,2014,,,src_neet_ug_2014_neet_ug_full_paper_nta_neet_officia,NEET UG Full Paper,211,26,26,0,0,0,0,0,26,100,COMPLETE
UGC_NET,2016,July,,src_ugc_net_philosophy_03_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
NEET_UG,2025,,,src_neet_ug_2025_neet_ug_solutions_analysis_testbook_medical,NEET UG Solutions & Analysis,180,155,155,0,0,0,0,0,155,100,COMPLETE
UGC_NET,2015,December,,src_ugc_net_political_science_02_2015_december_paper_iii,Paper III,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2012,December,,src_ugc_net_public_admin_14_2012_december_paper_iii,Paper III,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
JEE_ADVANCED,2021,,,src_jee_advanced_2021_paper_1_2_solutions_careers360_acade,Paper 1 & 2 Solutions,6,3,3,0,0,0,0,0,3,100,COMPLETE
UPSC_CSE,2021,,,src_upsc_cse_2021_csat_paper_2_prelims_upsc_official_cs,CSAT Paper 2 (Prelims),239,128,128,0,0,0,0,0,128,100,COMPLETE
UGC_NET,2010,June,,src_ugc_net_public_admin_14_2010_june_paper_ii,Paper II,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2014,June,,src_ugc_net_home_science_12_2014_june_paper_iii,Paper III,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2017,November,,src_ugc_net_management_17_2017_november_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2013,June,,src_ugc_net_cs_87_2013_june_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
NEET_UG,2017,,,src_neet_ug_2017_neet_ug_solutions_analysis_testbook_medical,NEET UG Solutions & Analysis,215,15,15,0,0,0,0,0,15,100,COMPLETE
JEE_MAIN,2021,Session 1 & 2,,src_jee_main_2021_session_1_2_testbook_verifie,,2312,2315,2312,0,3,0,0,0,2312,100,COMPLETE
UGC_NET,2015,June,,src_ugc_net_public_admin_14_2015_june_paper_iii,Paper III,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2016,July,,src_ugc_net_law_58_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
